gateid,treatment,date_random_assignment,site,w1_completed,w2_completed,w3_completed,age,gender,race_white_hispanic,race_white_not_hispanic,race_black_hispanic,race_black_not_hispanic,race_american_indian_alaskan,race_hawaiian_pacific_islander,race_asian,race_other,language,grade,household_size,has_children_in_hh,number_of_children_in_hh,marital_status,household_income,born_us,citizen,disability,ever_self_employed,years_self_employed,cb_industry,cb_start_mth,cb_start_year,cb_end_mth,cb_end_year,self_employed_at_application,weeks_self_employed,cb_weekly_hours_worked,cb_was_financial_success,cb_maximum_employees,relatives_friends_ever_se,worked_for_relatives_friends_se,working_in_wage_and_salary_job,now_self_employed,now_looking_for_work,now_in_school_or_training,now_caring_for_family_member,now_retired,now_doing_other,now_disabled,ever_worked,month_last_job_ended,year_last_job_ended,reason_last_job_ended,hourly_pay_rate,hours_worked_per_week,weeks_worked_someone_else,managerial_experience,years_managerial_experience,now_tanf,now_ssi,now_ssdi,now_ga,now_food_stamps,now_social_security,now_health,now_veteran,now_other,currently_receiving_ui_benefits,weeks_received_ui_benefits,family_support,sa_enjoys_working_independently,sa_always_finishes_projects,sa_works_long_hours,sa_has_innovative_ideas,sa_often_takes_initiative,sa_finds_a_way,sa_is_risk_averse,sa_handles_challenges,sa_communicates_well,sa_takes_advice,sa_good_motivator,sa_has_clear_goals,sa_often_misses_deadlines,sa_is_organized,sa_is_indecisive,sa_works_well_under_pressure,sa_has_sense_of_humor,sa_will_not_risk_savings,sa_will_lower_standard_of_living,sa_gets_sick_often,sa_finds_many_solutions,is_responsible_for_child_care,has_child_care_plans,has_car,has_telephone,has_computer,has_bank_account,has_credit_history,has_credit_history_problem,has_salaried_family_support,amount_salaried_family_support,has_health_insurance,health_insurance_source,is_operating_business,months_in_business,ever_operated_similar_business,builds_on_work_skills,builds_on_hobby_skills,is_home_based_business,has_location_in_mind,has_formal_business_plan,why_to_obtain_more_income,why_to_be_own_boss,why_to_pursue_interests,why_to_use_specific_talent,why_for_schedule_flexibility,why_to_work_at_home,why_to_realize_dream,why_to_avoid_unemployment,why_other,why_to_help_others,why_to_create_jobs,why_to_save_for_retirement,why_because_of_disability,why_for_fun_or_job_satisfaction,why_for_personal_fulfillment,why_for_security,why_to_meet_market_needs
MN1368,1,2003-12-30,3,1,1,0,42,0,0,1,0,0,0,0,0,0,1,14,5,1,3,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,24,52,0,-1,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,2,1,3,4,2,1,1,2,3,4,3,4,1,1,1,1,5,1,0,0,1,1,1,1,1,0,1,400,1,1,1,2,0,1,1,1,-1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
MN1369,0,2003-12-30,3,0,0,0,41,0,0,1,0,0,0,0,0,0,1,12,3,1,1,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.88,16,52,1,13,0,0,0,0,0,0,0,0,0,0,-4,1,1,2,1,1,1,2,1,1,1,2,1,2,5,2,5,1,1,5,1,5,2,0,1,1,1,1,1,1,0,1,817,1,2,0,-1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MN1370,1,2003-12-30,3,0,0,0,23,0,0,0,0,0,0,0,1,0,1,12,6,1,4,1,3,1,1,0,1,0.8,72,3,2003,-4,-4,1,40,60,0,4,1,0,0,1,1,0,0,0,0,0,1,2,2002,6,5.77,60,-4,0,-1,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,1,1,1,3,1,2,5,1,5,1,1,1,1,5,3,1,1,1,1,1,1,1,0,1,0,1,3,0,-1,0,1,1,1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MN1371,0,2003-12-30,3,1,1,1,39,1,0,1,0,0,0,0,0,0,1,15,1,0,-1,3,7,1,1,0,1,0.2,23,11,2003,-4,-4,1,-4,16,0,0,1,0,0,1,1,0,0,0,0,0,1,10,2003,4,23.67,65,44,1,7,0,0,0,0,0,0,0,0,0,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,1,1,5,1,5,1,0,0,1,1,1,1,1,0,0,-1,1,5,1,1,1,1,1,1,-1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MN1372,0,2003-12-30,3,0,0,0,41,1,0,1,0,0,0,0,0,0,1,17,1,0,-1,5,2,1,1,0,1,8,-4,3,1995,-4,-4,1,2,10,0,0,1,1,0,0,1,0,0,0,0,0,1,9,2003,6,9,25,36,1,2,0,0,0,0,0,0,0,0,0,0,-4,3,2,2,1,1,1,2,4,1,2,2,1,3,3,2,2,2,1,5,1,5,3,0,0,0,1,1,0,1,1,0,-1,0,-1,1,8,0,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MN1373,0,2003-12-30,3,1,1,1,38,1,0,0,0,0,0,0,1,0,9,17,6,1,4,1,6,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.38,40,52,1,3,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,2,2,1,3,2,1,1,2,1,4,2,3,1,1,3,2,4,2,1,1,1,1,1,1,1,0,1,628,1,1,0,-1,0,0,1,1,-1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MN1374,1,2003-12-30,3,1,1,1,47,1,0,1,0,0,0,0,0,0,1,14,4,1,2,1,7,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,18,48,1,20,0,0,0,0,0,0,0,0,0,1,12,1,2,1,1,2,2,1,4,1,1,1,2,3,5,2,4,2,1,5,1,5,1,0,-4,1,1,1,1,1,0,1,250,1,1,1,4,0,1,0,1,-1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MN1375,1,2003-12-30,3,1,1,0,41,1,0,1,0,0,0,0,0,0,1,13,3,1,1,1,4,1,1,0,1,0.2,31,11,2003,-4,-4,1,6,40,1,2,1,0,0,1,0,0,0,0,0,0,1,9,2003,4,12,50,43,0,-1,1,0,0,0,1,0,0,0,0,0,-4,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,5,1,5,1,0,1,1,1,1,1,1,1,0,-1,1,3,1,2,0,1,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
MN1376,0,2003-12-30,3,1,0,0,41,1,0,1,0,0,0,0,0,0,1,15,4,0,-1,3,8,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,0,1,8,2003,1,25.96,50,40,1,2,0,0,0,0,0,0,0,0,0,1,4,2,2,1,1,1,1,1,3,1,2,2,1,1,5,2,4,1,1,4,1,5,1,0,0,1,1,1,1,1,0,0,-1,0,-1,0,-1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
MN1377,1,2003-12-30,3,1,1,0,46,1,0,1,0,0,0,0,0,0,1,14,1,0,-1,4,5,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,1,0,0,0,0,1,7,2003,1,19.5,40,44,0,-1,0,0,0,0,0,0,0,0,0,1,-4,1,1,1,2,1,2,1,2,2,2,2,1,1,5,2,4,2,1,2,2,4,2,0,-4,1,1,1,1,1,0,0,-1,1,5,0,-1,0,1,1,1,-1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
MN1378,1,2003-12-30,3,1,1,1,42,1,0,1,0,0,0,0,0,0,1,18,4,1,2,1,7,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,1,0,0,0,1,6,2003,7,30,40,26,1,12,0,0,0,0,0,0,0,0,0,0,-4,3,1,1,4,1,1,1,2,1,1,2,2,2,4,2,3,1,1,4,2,5,2,1,1,1,1,1,1,1,0,1,1100,1,2,0,-1,0,1,1,1,-1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
MN1379,1,2003-12-30,3,1,1,1,29,1,0,1,0,0,0,0,0,0,1,18,2,0,-1,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.54,40,52,0,-1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,3,1,1,2,1,1,1,2,2,5,3,5,2,1,1,1,5,1,1,-4,1,1,1,1,1,1,1,350,1,1,1,1,0,1,0,1,-1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
MN1380,1,2003-12-30,3,1,1,0,36,0,0,1,0,0,0,0,0,0,1,15,1,0,-1,5,5,1,1,0,1,0.3,44,7,2000,-4,-4,1,10,40,0,5,0,-1,0,0,1,0,0,0,1,0,1,9,2003,1,20.94,45,37,1,8,0,0,0,0,0,0,0,0,0,1,3,3,2,1,1,2,1,1,4,2,2,3,1,2,5,1,4,1,1,4,1,4,2,0,-4,1,1,1,1,1,0,0,-1,0,-1,1,3,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
MN1381,1,2003-12-30,4,1,1,1,52,0,0,1,0,0,0,0,0,0,1,18,2,0,-1,1,5,1,1,0,1,1,54,6,1985,7,1986,0,0,-4,0,1,1,1,0,1,1,0,0,0,0,0,1,10,2003,1,11.2,40,52,1,3,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2,2,1,5,1,2,2,2,4,5,2,2,4,1,4,2,5,1,0,0,1,1,1,1,1,0,1,500,0,-1,0,-1,0,1,1,1,-1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
MN1392,0,2003-12-30,3,1,1,1,49,0,0,1,0,0,0,0,0,0,1,14,4,1,1,1,5,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,36,52,1,3,0,0,0,0,0,0,0,0,0,0,-4,1,1,2,1,2,2,2,4,2,1,2,1,3,2,2,3,1,1,3,2,5,1,1,1,1,1,1,1,1,0,1,500,1,2,0,-1,0,0,0,1,-1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
MN1393,0,2003-12-30,3,1,1,0,49,1,0,1,0,0,0,0,0,0,1,15,4,1,2,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.54,50,44,1,6,0,0,0,0,0,0,0,0,0,0,-4,2,1,1,3,2,1,2,2,1,2,2,3,2,5,3,5,2,1,3,2,5,2,0,1,1,1,1,1,1,0,1,500,1,5,1,1,1,1,0,1,-1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
MN1394,0,2003-12-30,3,1,0,0,40,1,0,0,0,0,0,0,1,0,9,16,5,1,2,1,4,0,1,0,1,10,23,9,1992,-4,-4,1,12,84,1,3,1,1,0,1,0,0,0,0,0,0,1,9,2001,1,20.56,65,52,1,5,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,5,1,1,2,1,5,1,1,0,1,1,1,1,1,0,1,480,1,2,0,-1,1,1,1,1,-1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MN1395,1,2003-12-30,3,1,1,1,47,1,0,0,0,1,0,0,0,0,1,14,3,1,3,1,6,1,1,0,1,0.6,53,5,2003,-4,-4,1,30,45,0,0,1,0,0,1,0,0,0,0,0,0,1,12,2002,6,18.46,50,2,1,20,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,5,1,1,1,1,1,5,2,5,1,1,5,1,5,1,0,0,1,1,1,1,1,0,1,1000,1,2,1,2,0,1,1,1,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MN1396,1,2003-12-30,3,1,1,1,42,0,0,0,0,1,0,0,0,0,1,15,2,1,1,5,6,1,1,0,1,0.2,44,10,2003,-4,-4,1,7,24,1,0,0,-1,0,1,0,0,0,0,0,0,1,11,2003,1,20.76,40,47,1,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,5,1,5,1,0,1,0,1,1,1,1,1,0,-1,0,-1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MN1400,0,2003-12-30,3,1,0,0,36,1,0,1,0,0,0,0,0,0,1,18,2,1,1,1,5,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,11,2003,1,19.23,40,42,0,-1,0,0,0,0,0,0,0,0,0,1,8,1,1,1,1,1,1,1,4,1,1,1,2,2,5,1,5,2,1,5,1,5,1,0,1,1,1,1,1,1,0,1,770,1,2,0,-1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MN1406,0,2004-01-06,3,0,0,0,36,0,0,0,0,1,0,0,0,0,1,16,4,1,2,1,5,1,1,0,1,5,56,4,1999,-4,-4,1,52,40,0,4,1,1,0,1,0,0,0,0,0,0,1,6,1998,6,-4,40,-4,1,5,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,3,1,5,1,0,1,1,1,1,1,1,1,1,800,1,5,1,4,1,1,0,1,-1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MN1407,0,2004-01-06,3,0,0,0,49,0,0,0,0,0,0,0,0,1,1,14,5,1,2,2,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,5,2002,1,15,45,-4,1,3,1,0,0,0,1,0,0,0,0,0,12,1,1,1,1,1,1,1,5,1,1,2,1,1,5,1,5,1,1,5,1,5,1,0,1,1,1,1,1,1,1,0,-1,1,3,0,-1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
MN1408,1,2004-01-06,3,1,1,0,45,0,1,0,0,0,0,0,0,0,1,17,2,0,-1,3,4,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,12,2003,1,17,40,42,0,-1,0,0,0,0,0,0,0,0,0,-4,-4,1,2,2,1,1,1,1,4,2,2,1,3,1,3,2,2,1,1,5,1,3,2,0,0,1,1,1,1,1,0,1,500,0,-1,0,-1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
MN1409,0,2004-01-06,3,1,1,1,37,1,0,1,0,0,0,0,0,0,1,12,4,1,1,1,5,1,1,0,1,18,23,7,1985,-4,-4,1,52,40,1,1,1,1,0,1,0,0,0,0,0,0,1,12,2003,3,15,40,25,1,4,0,0,0,0,0,0,0,0,0,0,-4,2,2,1,1,1,1,1,4,1,1,1,1,2,4,1,4,2,1,4,1,5,1,0,1,1,1,1,1,1,0,1,532,1,3,0,-1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MN1410,0,2004-01-06,3,1,1,1,34,0,0,1,0,0,0,0,0,0,1,12,4,1,3,3,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,9,2003,7,10.5,45,45,1,6,1,1,0,0,1,0,0,0,0,0,-4,1,1,1,1,1,1,2,3,1,1,2,1,3,5,1,5,1,1,4,2,5,2,0,1,1,1,1,1,1,1,0,-1,1,3,0,-1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0
MN1411,1,2004-01-06,3,1,1,0,52,0,0,0,0,1,0,0,0,0,1,18,2,0,-1,1,1,0,0,0,1,20,31,10,2002,-4,-4,1,40,30,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,20,12,1,20,0,0,0,0,1,0,0,0,0,0,13,1,1,1,1,1,1,2,4,1,2,1,1,2,5,2,5,1,2,4,1,5,2,1,0,1,1,1,1,1,1,0,-1,1,3,1,13,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
MN1412,1,2004-01-06,3,1,1,1,65,1,0,0,0,1,0,0,0,0,1,12,1,0,-1,2,-4,0,0,0,1,10,23,1,1980,12,1990,0,0,30,1,15,1,0,0,1,1,0,0,0,0,0,1,11,1990,7,-4,40,-4,1,4,0,0,0,1,1,0,0,0,0,0,-4,1,-4,1,1,1,3,3,5,1,2,3,1,1,5,1,5,5,2,5,1,5,4,0,0,-4,1,-4,-4,0,-1,1,962,1,3,0,-1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
MN1413,0,2004-01-06,3,0,0,0,31,1,0,1,0,0,0,0,0,0,1,12,3,0,-1,5,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,0,1,8,2003,4,15,40,14,1,2,0,0,0,0,0,0,0,0,0,1,36,1,1,1,1,1,1,1,4,1,1,1,1,4,5,1,5,1,2,5,1,5,2,0,-4,1,1,1,1,1,0,0,-1,0,-1,0,-1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
MN1414,0,2004-01-06,3,1,1,1,42,0,0,1,0,0,0,0,0,0,1,16,2,0,-1,-4,6,1,1,0,1,20,54,11,1985,-4,-4,1,52,65,1,8,1,0,0,1,0,0,0,0,0,0,1,11,1999,1,60.1,8,-4,1,3,0,0,0,0,0,0,0,0,0,0,-4,2,1,2,1,1,1,2,4,1,1,2,2,2,2,2,2,1,1,5,1,5,1,0,-4,1,1,1,1,1,1,0,-1,1,5,1,18,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MN1415,0,2004-01-06,3,1,1,1,33,0,0,0,0,0,0,0,1,0,9,14,6,1,4,1,6,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.38,40,52,0,-1,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,2,2,2,1,2,1,1,2,4,1,3,2,2,3,2,4,2,1,1,1,1,1,1,1,0,1,700,1,2,0,-1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
MN1416,0,2004-01-06,3,1,1,1,39,1,0,0,0,0,0,0,1,0,8,16,4,1,2,1,7,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.02,55,52,1,4,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,2,2,2,2,4,2,1,2,3,3,5,2,1,2,1,1,1,5,2,1,1,1,1,1,1,1,0,0,-1,1,1,0,-1,0,0,0,1,-1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
MN1417,1,2004-01-06,3,1,1,1,47,1,0,0,0,1,0,0,0,0,1,18,6,1,1,1,4,0,0,0,1,1,56,12,2002,-4,-4,1,32,28,0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.75,32,30,1,5,0,0,0,0,0,0,0,0,0,0,-4,1,2,1,1,1,1,1,4,1,1,1,1,1,5,1,2,1,1,5,1,5,1,0,1,1,1,1,1,1,0,0,-1,1,3,0,-1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MN1418,0,2004-01-06,3,1,1,1,49,1,0,1,0,0,0,0,0,0,1,14,4,0,-1,1,8,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,1,0,0,0,0,1,11,2003,1,25.2,43,-4,1,20,0,0,0,0,0,0,0,0,0,1,19,1,1,2,2,1,1,2,2,1,1,2,2,2,4,1,3,1,2,3,2,4,2,0,0,1,1,1,1,1,0,1,1250,1,2,0,-1,0,1,0,1,-1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
MN1419,0,2004-01-06,3,1,1,1,41,0,0,1,0,0,0,0,0,0,1,14,7,1,5,1,5,1,1,0,1,15,52,11,2002,-4,-4,1,52,60,1,0,1,1,0,1,0,0,0,0,0,0,1,12,1987,7,8.33,60,-4,0,-1,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,5,1,1,1,1,1,4,4,1,1,1,3,2,5,1,1,1,1,1,1,1,1,0,0,-1,0,-1,1,6,1,1,0,1,-1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MN1420,1,2004-01-06,3,0,0,0,31,0,0,1,0,0,0,0,0,0,1,11,6,1,4,3,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,1,10,2002,7,7,40,-4,1,2,1,1,0,0,1,0,0,0,0,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1000,1,3,0,-1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MN1421,0,2004-01-06,4,1,1,1,54,0,0,1,0,0,0,0,0,0,1,17,1,0,-1,3,2,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,1,9,2003,4,10,40,38,1,1,0,0,0,0,0,0,0,0,0,1,9,3,1,2,2,1,1,2,5,1,1,2,2,3,5,2,2,2,1,4,1,5,1,0,-4,1,1,0,1,1,1,0,-1,0,-1,0,-1,0,1,1,1,-1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
MN1422,1,2004-01-06,3,1,1,1,38,0,0,1,0,0,0,0,0,0,1,16,5,1,3,1,6,1,1,0,1,2,51,1,1989,-4,-4,1,-4,-4,1,1,0,-1,0,0,1,0,0,0,0,0,1,11,2003,2,11.55,40,43,1,5,0,0,0,0,0,0,0,0,0,1,6,1,1,1,2,1,2,1,5,1,1,1,1,4,5,2,5,1,1,2,3,5,1,1,1,1,1,1,1,1,0,1,1000,1,2,1,13,0,1,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
MN1423,1,2004-01-06,4,1,1,1,35,1,0,1,0,0,0,0,0,0,1,15,6,1,4,1,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,1,0,0,0,0,0,1,8,2003,1,16.25,40,9,1,5,0,0,0,0,0,0,0,0,0,1,8,1,1,1,1,1,1,1,4,1,1,2,2,2,4,2,5,1,1,5,2,5,1,0,1,1,1,1,1,1,1,1,200,1,3,0,-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
MN1424,1,2004-01-06,4,1,1,1,42,1,0,1,0,0,0,0,0,0,1,18,4,1,2,1,6,1,1,0,1,4,71,10,2001,-4,-4,1,52,12,1,0,1,1,0,0,1,0,0,0,0,0,1,12,2003,1,21.12,37,52,1,1,0,0,0,0,0,0,0,0,0,1,-4,2,1,1,3,1,1,2,3,1,1,1,2,1,4,3,3,1,1,3,3,5,1,0,1,1,1,1,1,1,0,1,275,0,-1,1,2,0,0,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
MN1425,0,2004-01-06,4,1,1,1,50,0,0,1,0,0,0,0,0,0,1,16,1,0,-1,2,4,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.85,7,43,1,8,0,0,0,0,0,0,0,0,0,1,9,1,1,1,2,1,2,2,4,2,1,2,2,2,5,1,2,2,1,3,2,5,2,0,-4,1,1,0,1,1,1,0,-1,0,-1,0,-1,0,1,0,1,-1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
MN1426,1,2004-01-06,4,1,1,1,42,0,0,1,0,0,0,0,0,0,1,18,3,0,-1,1,6,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,1,1,2003,1,24.04,40,-4,1,4,0,0,0,0,0,0,0,0,0,0,39,1,1,1,1,1,2,2,4,2,1,2,1,2,5,1,4,1,1,4,2,5,1,0,-4,1,1,1,1,1,0,0,-1,0,-1,0,-1,0,1,0,1,-1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
MN1427,0,2004-01-06,4,1,1,1,43,1,0,1,0,0,0,0,0,0,1,14,3,0,-1,5,3,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,1,0,0,0,0,1,7,2003,1,14,40,4,0,-1,0,0,0,0,0,0,0,0,0,0,36,1,1,1,1,2,2,1,2,1,1,2,2,4,5,2,4,2,1,4,1,5,2,0,0,1,1,1,1,1,0,0,-1,1,5,0,-1,0,1,0,1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MN1439,0,2004-01-07,3,0,0,0,55,0,0,0,0,0,0,0,0,1,1,15,1,0,-1,3,2,1,1,0,1,4,-4,-4,-4,-4,-4,-4,0,0,-4,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,40,36,0,-1,0,0,0,0,0,0,0,0,0,0,-4,3,1,1,1,-4,1,1,1,2,1,1,1,1,2,4,5,1,1,5,5,5,1,0,0,0,0,1,1,1,1,0,-1,1,1,0,-1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MN1440,0,2004-01-07,3,1,1,1,42,0,0,0,0,1,0,0,0,0,1,14,4,1,3,4,0,0,0,0,1,12,72,9,1991,10,2002,0,0,81,1,4,1,0,0,0,1,0,0,0,0,0,1,8,1990,7,-4,-4,-4,1,3,0,0,0,0,1,0,0,0,0,1,-4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,4,1,2,1,3,1,1,0,0,-4,-4,-4,0,-1,0,-1,1,3,0,-1,1,1,1,1,-1,-4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
MN1441,0,2004-01-07,4,1,1,1,54,1,0,1,0,0,0,0,0,0,1,12,1,0,-1,2,4,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,1,12,2003,1,15.7,40,52,1,15,0,0,0,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,1,1,1,2,1,2,5,2,5,1,1,5,1,5,1,0,-4,1,1,1,1,1,0,0,-1,1,3,0,-1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
